index,label
1,truck
2,truck
3,truck
4,frog
5,automobile
6,airplane
7,dog
8,bird
9,dog
10,frog
11,dog
12,ship
13,horse
14,frog
15,automobile
16,airplane
17,horse
18,deer
19,deer
20,cat
21,bird
22,dog
23,cat
24,automobile
25,automobile
26,frog
27,dog
28,automobile
29,airplane
30,deer
31,airplane
32,automobile
33,dog
34,dog
35,ship
36,deer
37,deer
38,frog
39,dog
40,dog
41,deer
42,bird
43,cat
44,airplane
45,deer
46,ship
47,horse
48,bird
49,ship
50,dog
51,frog
52,bird
53,bird
54,deer
55,cat
56,airplane
57,cat
58,bird
59,automobile
60,cat
61,airplane
62,frog
63,ship
64,automobile
65,airplane
66,horse
67,dog
68,dog
69,ship
70,cat
71,bird
72,automobile
73,bird
74,truck
75,automobile
76,deer
77,automobile
78,dog
79,horse
80,horse
81,cat
82,cat
83,airplane
84,automobile
85,automobile
86,bird
87,ship
88,horse
89,automobile
90,automobile
91,truck
92,ship
93,dog
94,horse
95,cat
96,ship
97,ship
98,frog
99,dog
100,deer
101,airplane
102,truck
103,bird
104,airplane
105,airplane
106,horse
107,truck
108,bird
109,airplane
110,bird
111,cat
112,dog
113,bird
114,truck
115,automobile
116,bird
117,bird
118,dog
119,airplane
120,horse
121,cat
122,dog
123,bird
124,dog
125,airplane
126,automobile
127,ship
128,cat
129,horse
130,airplane
131,truck
132,bird
133,deer
134,cat
135,truck
136,frog
137,ship
138,ship
139,deer
140,airplane
141,dog
142,deer
143,truck
144,airplane
145,cat
146,horse
147,ship
148,ship
149,deer
150,truck
151,frog
152,cat
153,horse
154,dog
155,automobile
156,truck
157,dog
158,bird
159,ship
160,deer
161,frog
162,deer
163,ship
164,dog
165,cat
166,dog
167,truck
168,airplane
169,frog
170,deer
171,ship
172,cat
173,ship
174,dog
175,frog
176,deer
177,dog
178,frog
179,automobile
180,frog
181,bird
182,bird
183,airplane
184,truck
185,bird
186,airplane
187,horse
188,airplane
189,automobile
190,dog
191,bird
192,deer
193,horse
194,dog
195,truck
196,ship
197,cat
198,horse
199,airplane
200,bird
201,airplane
202,cat
203,horse
204,automobile
205,truck
206,deer
207,bird
208,airplane
209,deer
210,ship
211,cat
212,airplane
213,deer
214,ship
215,airplane
216,truck
217,ship
218,cat
219,dog
220,cat
221,airplane
222,automobile
223,cat
224,bird
225,horse
226,horse
227,ship
228,ship
229,cat
230,deer
231,bird
232,ship
233,airplane
234,horse
235,deer
236,deer
237,frog
238,ship
239,horse
240,horse
241,frog
242,airplane
243,truck
244,airplane
245,horse
246,cat
247,cat
248,automobile
249,frog
250,airplane
251,cat
252,dog
253,bird
254,automobile
255,automobile
256,frog
257,airplane
258,bird
259,truck
260,cat
261,horse
262,airplane
263,frog
264,truck
265,airplane
266,airplane
267,truck
268,automobile
269,airplane
270,dog
271,truck
272,dog
273,truck
274,horse
275,ship
276,dog
277,automobile
278,ship
279,deer
280,truck
281,cat
282,deer
283,airplane
284,airplane
285,truck
286,dog
287,automobile
288,dog
289,automobile
290,truck
291,truck
292,airplane
293,frog
294,airplane
295,cat
296,frog
297,automobile
298,automobile
299,dog
300,truck
301,ship
302,ship
303,dog
304,truck
305,airplane
306,deer
307,ship
308,deer
309,bird
310,deer
311,airplane
312,airplane
313,deer
314,cat
315,dog
316,truck
317,deer
318,ship
319,ship
320,ship
321,ship
322,dog
323,cat
324,cat
325,cat
326,airplane
327,horse
328,ship
329,ship
330,truck
331,airplane
332,bird
333,horse
334,truck
335,truck
336,truck
337,deer
338,ship
339,frog
340,automobile
341,airplane
342,dog
343,truck
344,truck
345,frog
346,horse
347,airplane
348,ship
349,automobile
350,ship
351,automobile
352,dog
353,cat
354,truck
355,truck
356,dog
357,airplane
358,frog
359,bird
360,horse
361,cat
362,automobile
363,deer
364,deer
365,ship
366,ship
367,truck
368,dog
369,truck
370,automobile
371,automobile
372,ship
373,frog
374,bird
375,horse
376,horse
377,truck
378,truck
379,bird
380,ship
381,ship
382,cat
383,dog
384,truck
385,ship
386,dog
387,horse
388,ship
389,horse
390,frog
391,frog
392,truck
393,dog
394,cat
395,frog
396,bird
397,deer
398,frog
399,frog
400,automobile
401,ship
402,dog
403,bird
404,horse
405,bird
406,airplane
407,horse
408,ship
409,deer
410,airplane
411,automobile
412,horse
413,cat
414,horse
415,truck
416,dog
417,bird
418,automobile
419,bird
420,automobile
421,bird
422,frog
423,frog
424,ship
425,bird
426,cat
427,airplane
428,ship
429,truck
430,airplane
431,horse
432,airplane
433,cat
434,cat
435,bird
436,deer
437,truck
438,horse
439,deer
440,bird
441,dog
442,cat
443,truck
444,frog
445,ship
446,ship
447,ship
448,deer
449,deer
450,horse
451,truck
452,dog
453,frog
454,horse
455,dog
456,bird
457,airplane
458,cat
459,bird
460,bird
461,ship
462,cat
463,airplane
464,ship
465,horse
466,airplane
467,airplane
468,dog
469,truck
470,bird
471,ship
472,automobile
473,deer
474,cat
475,automobile
476,bird
477,bird
478,truck
479,horse
480,bird
481,horse
482,airplane
483,horse
484,horse
485,frog
486,ship
487,cat
488,automobile
489,bird
490,frog
491,deer
492,horse
493,truck
494,ship
495,airplane
496,ship
497,dog
498,truck
499,frog
500,frog
501,ship
502,deer
503,deer
504,truck
505,bird
506,cat
507,automobile
508,ship
509,horse
510,automobile
511,bird
512,dog
513,automobile
514,horse
515,dog
516,dog
517,deer
518,frog
519,bird
520,airplane
521,ship
522,frog
523,dog
524,frog
525,airplane
526,horse
527,horse
528,frog
529,horse
530,truck
531,horse
532,automobile
533,horse
534,airplane
535,deer
536,frog
537,frog
538,airplane
539,cat
540,deer
541,ship
542,horse
543,airplane
544,truck
545,horse
546,automobile
547,horse
548,cat
549,bird
550,horse
551,dog
552,dog
553,frog
554,truck
555,frog
556,automobile
557,frog
558,ship
559,deer
560,dog
561,automobile
562,horse
563,cat
564,dog
565,ship
566,dog
567,dog
568,bird
569,truck
570,horse
571,frog
572,horse
573,truck
574,cat
575,deer
576,airplane
577,deer
578,ship
579,deer
580,cat
581,automobile
582,truck
583,deer
584,frog
585,deer
586,ship
587,dog
588,cat
589,frog
590,dog
591,truck
592,truck
593,cat
594,airplane
595,deer
596,truck
597,cat
598,truck
599,frog
600,dog
601,automobile
602,horse
603,ship
604,bird
605,automobile
606,airplane
607,ship
608,frog
609,bird
610,ship
611,truck
612,frog
613,dog
614,automobile
615,truck
616,deer
617,ship
618,dog
619,horse
620,cat
621,airplane
622,ship
623,horse
624,bird
625,bird
626,dog
627,airplane
628,bird
629,automobile
630,bird
631,dog
632,bird
633,truck
634,bird
635,automobile
636,dog
637,ship
638,truck
639,airplane
640,airplane
641,truck
642,truck
643,truck
644,dog
645,horse
646,ship
647,dog
648,bird
649,airplane
650,truck
651,ship
652,horse
653,truck
654,dog
655,deer
656,bird
657,bird
658,horse
659,horse
660,cat
661,airplane
662,truck
663,bird
664,cat
665,airplane
666,dog
667,frog
668,ship
669,airplane
670,cat
671,airplane
672,cat
673,horse
674,frog
675,automobile
676,ship
677,frog
678,airplane
679,dog
680,ship
681,airplane
682,dog
683,frog
684,truck
685,ship
686,ship
687,automobile
688,dog
689,ship
690,cat
691,truck
692,ship
693,automobile
694,deer
695,bird
696,truck
697,cat
698,airplane
699,airplane
700,cat
701,cat
702,bird
703,bird
704,bird
705,automobile
706,truck
707,truck
708,airplane
709,frog
710,truck
711,frog
712,bird
713,deer
714,truck
715,frog
716,deer
717,horse
718,frog
719,horse
720,horse
721,automobile
722,ship
723,automobile
724,truck
725,cat
726,frog
727,truck
728,dog
729,ship
730,dog
731,deer
732,airplane
733,horse
734,truck
735,ship
736,dog
737,bird
738,deer
739,cat
740,airplane
741,ship
742,dog
743,frog
744,truck
745,truck
746,cat
747,frog
748,cat
749,bird
750,automobile
751,cat
752,cat
753,airplane
754,airplane
755,ship
756,horse
757,dog
758,cat
759,bird
760,bird
761,automobile
762,airplane
763,airplane
764,frog
765,bird
766,frog
767,dog
768,truck
769,frog
770,airplane
771,truck
772,horse
773,horse
774,ship
775,horse
776,bird
777,frog
778,bird
779,horse
780,truck
781,cat
782,automobile
783,dog
784,automobile
785,deer
786,dog
787,deer
788,deer
789,dog
790,cat
791,frog
792,horse
793,frog
794,frog
795,horse
796,bird
797,deer
798,dog
799,dog
800,airplane
801,frog
802,airplane
803,automobile
804,dog
805,truck
806,cat
807,cat
808,automobile
809,automobile
810,dog
811,airplane
812,dog
813,bird
814,truck
815,horse
816,dog
817,cat
818,cat
819,automobile
820,frog
821,ship
822,bird
823,dog
824,truck
825,airplane
826,frog
827,automobile
828,truck
829,airplane
830,horse
831,horse
832,bird
833,automobile
834,horse
835,ship
836,deer
837,deer
838,truck
839,dog
840,horse
841,bird
842,frog
843,dog
844,bird
845,horse
846,cat
847,automobile
848,bird
849,truck
850,bird
851,horse
852,frog
853,deer
854,airplane
855,truck
856,bird
857,automobile
858,automobile
859,dog
860,dog
861,horse
862,deer
863,automobile
864,frog
865,frog
866,ship
867,frog
868,dog
869,frog
870,dog
871,bird
872,frog
873,automobile
874,horse
875,truck
876,cat
877,cat
878,horse
879,horse
880,ship
881,frog
882,dog
883,horse
884,bird
885,deer
886,ship
887,dog
888,airplane
889,dog
890,truck
891,bird
892,deer
893,airplane
894,deer
895,airplane
896,airplane
897,horse
898,airplane
899,ship
900,airplane
901,ship
902,automobile
903,frog
904,deer
905,cat
906,frog
907,horse
908,automobile
909,deer
910,automobile
911,airplane
912,truck
913,cat
914,frog
915,horse
916,ship
917,horse
918,bird
919,airplane
920,airplane
921,ship
922,dog
923,automobile
924,horse
925,ship
926,truck
927,deer
928,ship
929,bird
930,deer
931,automobile
932,automobile
933,truck
934,deer
935,deer
936,airplane
937,ship
938,dog
939,cat
940,cat
941,horse
942,horse
943,frog
944,deer
945,dog
946,ship
947,airplane
948,dog
949,automobile
950,airplane
951,airplane
952,bird
953,ship
954,dog
955,automobile
956,bird
957,truck
958,cat
959,deer
960,bird
961,truck
962,dog
963,frog
964,truck
965,ship
966,dog
967,ship
968,horse
969,cat
970,deer
971,truck
972,cat
973,truck
974,truck
