index,label
1,cat
2,ship
3,bird
4,ship
5,dog
6,cat
7,airplane
8,cat
9,dog
10,bird
11,automobile
12,airplane
13,bird
14,bird
15,horse
16,ship
17,bird
18,frog
19,deer
20,automobile
21,airplane
22,cat
23,frog
24,cat
25,frog
26,automobile
27,automobile
28,dog
29,truck
30,horse
31,frog
32,deer
33,deer
34,bird
35,deer
36,frog
37,truck
38,frog
39,deer
40,cat
41,deer
42,cat
43,automobile
44,bird
45,automobile
46,airplane
47,airplane
48,bird
49,truck
50,dog
51,ship
52,automobile
53,bird
54,airplane
55,automobile
56,dog
57,ship
58,dog
59,dog
60,automobile
61,dog
62,airplane
63,dog
64,dog
65,frog
66,automobile
67,deer
68,ship
69,deer
70,frog
71,airplane
72,deer
73,ship
74,horse
75,airplane
76,dog
77,ship
78,dog
79,deer
80,deer
81,airplane
82,airplane
83,bird
84,airplane
85,horse
86,frog
87,airplane
88,truck
89,automobile
90,truck
91,truck
92,automobile
93,dog
94,truck
95,frog
96,horse
97,deer
98,dog
99,deer
100,cat
101,bird
102,dog
103,truck
104,horse
105,horse
106,bird
107,truck
108,frog
109,cat
110,bird
111,dog
112,bird
113,ship
114,ship
115,dog
116,ship
117,truck
118,automobile
119,frog
120,airplane
121,dog
122,bird
123,cat
124,cat
125,ship
126,deer
127,dog
128,horse
129,deer
130,frog
131,airplane
132,bird
133,horse
134,truck
135,bird
136,deer
137,deer
138,truck
139,bird
140,deer
141,truck
142,airplane
143,truck
144,frog
145,bird
146,deer
147,airplane
148,truck
149,horse
150,horse
151,bird
152,airplane
153,frog
154,truck
155,airplane
156,dog
157,horse
158,bird
159,frog
160,deer
161,horse
162,bird
163,airplane
164,frog
165,dog
166,frog
167,bird
168,deer
169,automobile
170,cat
171,dog
172,cat
173,automobile
174,cat
175,deer
176,cat
177,frog
178,horse
179,bird
180,frog
181,cat
182,bird
183,horse
184,truck
185,cat
186,truck
187,frog
188,automobile
189,automobile
190,automobile
191,truck
192,bird
193,frog
194,cat
195,cat
196,automobile
197,dog
198,airplane
199,frog
200,dog
201,frog
202,airplane
203,airplane
204,truck
205,ship
206,ship
207,deer
208,deer
209,truck
210,deer
211,horse
212,deer
213,truck
214,automobile
215,bird
216,deer
217,frog
218,ship
219,bird
220,horse
221,frog
222,cat
223,automobile
224,ship
225,frog
226,horse
227,horse
228,deer
229,frog
230,ship
231,bird
232,dog
233,horse
234,deer
235,truck
236,dog
237,cat
238,dog
239,horse
240,deer
241,bird
242,cat
243,airplane
244,bird
245,cat
246,cat
247,bird
248,bird
249,cat
250,truck
251,dog
252,deer
253,bird
254,truck
255,frog
256,airplane
257,deer
258,cat
259,automobile
260,dog
261,dog
262,dog
263,frog
264,deer
265,bird
266,horse
267,truck
268,deer
269,truck
270,frog
271,automobile
272,bird
273,airplane
274,dog
275,deer
276,ship
277,truck
278,truck
279,cat
280,truck
281,automobile
282,dog
283,deer
284,automobile
285,ship
286,airplane
287,frog
288,deer
289,truck
290,horse
291,deer
292,deer
293,truck
294,deer
295,automobile
296,frog
297,automobile
298,airplane
299,deer
300,cat
301,frog
302,airplane
303,cat
304,truck
305,bird
306,deer
307,horse
308,deer
309,bird
310,dog
311,frog
312,horse
313,frog
314,deer
315,horse
316,airplane
317,cat
318,truck
319,airplane
320,frog
321,automobile
322,horse
323,deer
324,ship
325,airplane
326,dog
327,bird
328,automobile
329,frog
330,automobile
331,cat
332,truck
333,deer
334,frog
335,deer
336,horse
337,ship
338,automobile
339,ship
340,dog
341,deer
342,truck
343,truck
344,ship
345,bird
346,truck
347,horse
348,frog
349,ship
350,cat
351,dog
352,horse
353,truck
354,automobile
355,frog
356,frog
357,automobile
358,horse
359,ship
360,dog
361,airplane
362,dog
363,dog
364,frog
365,truck
366,cat
367,ship
368,deer
369,ship
370,bird
371,bird
372,truck
373,airplane
374,automobile
375,airplane
376,deer
377,frog
378,horse
379,horse
380,horse
381,bird
382,horse
383,deer
384,frog
385,bird
386,cat
387,cat
388,bird
389,cat
390,ship
391,cat
392,ship
393,automobile
394,deer
395,airplane
396,cat
397,deer
398,dog
399,airplane
400,dog
401,frog
402,ship
403,truck
404,horse
405,bird
406,airplane
407,horse
408,frog
409,frog
410,airplane
411,deer
412,horse
413,frog
414,ship
415,automobile
416,ship
417,ship
418,airplane
419,horse
420,horse
421,frog
422,dog
423,frog
424,truck
425,horse
426,dog
427,automobile
428,horse
429,bird
430,truck
431,automobile
432,deer
433,horse
434,dog
435,bird
436,frog
437,horse
438,frog
439,deer
440,automobile
441,airplane
442,ship
443,dog
444,deer
445,truck
446,dog
447,truck
448,bird
449,truck
450,horse
451,frog
452,deer
453,cat
454,dog
455,airplane
456,frog
457,horse
458,truck
459,dog
460,airplane
461,cat
462,bird
463,automobile
464,cat
465,bird
466,frog
467,dog
468,airplane
469,ship
470,airplane
471,horse
472,ship
473,deer
474,dog
475,dog
476,truck
477,bird
478,ship
479,horse
480,deer
481,truck
482,automobile
483,cat
484,frog
485,bird
486,automobile
487,deer
488,deer
489,frog
490,dog
491,airplane
492,deer
493,dog
494,dog
495,dog
496,ship
497,bird
498,dog
499,ship
500,deer
501,ship
502,airplane
503,airplane
504,bird
505,airplane
506,dog
507,bird
508,automobile
509,airplane
510,frog
511,deer
512,airplane
513,ship
514,horse
515,ship
516,truck
517,automobile
518,dog
519,dog
520,bird
521,bird
522,automobile
523,bird
524,bird
525,horse
526,bird
527,cat
528,horse
529,bird
530,truck
531,dog
532,truck
533,deer
534,bird
535,automobile
536,truck
537,frog
538,truck
539,dog
540,cat
541,horse
542,airplane
543,horse
544,automobile
545,horse
546,deer
547,cat
548,automobile
549,airplane
550,airplane
551,bird
552,airplane
553,cat
554,automobile
555,deer
556,dog
557,airplane
558,ship
559,deer
560,bird
561,frog
562,frog
563,truck
564,truck
565,truck
566,truck
567,frog
568,truck
569,horse
570,bird
571,automobile
572,cat
573,bird
574,deer
575,frog
576,ship
577,horse
578,bird
579,frog
580,frog
581,airplane
582,automobile
583,airplane
584,automobile
585,airplane
586,bird
587,horse
588,dog
