batch_size,learning_rate_gen,learning_rate_disc,fid_score,loss_discriminator,loss_generator
32.0,0.0005,0.01,1410.2943115234375,1.0,0.0
256.0,0.0001,0.005,1991.7052001953125,0.08893271446228028,0.8768855285644531
256.0,0.001,0.0005,1617.6712646484375,0.008659358024597169,0.09993714332580567
16.0,0.05,0.005,1551.6259765625,0.0,1.0
32.0,0.0005,0.05,1782.967529296875,1.0,0.0
32.0,0.05,0.001,1896.8681640625,2.553965896368027e-06,0.2774621772766113
16.0,0.1,0.0005,2283.792724609375,1.5254236132022925e-07,0.23683509826660157
32.0,0.0001,0.005,1270.628662109375,1.0,0.0
64.0,0.0005,0.001,2057.927490234375,1.0,0.0
64.0,0.05,0.001,1626.982421875,0.001404198557138443,0.2068954086303711
